,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,SMA_20,RSI,MACD
0,12.904666900634766,13.53933334350586,12.885333061218262,13.525333404541016,13.525333404541016,234744000,-0.04,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,17.530300092697143,64.91549921163092,-10.612455728504983
1,14.733332633972168,15.83199977874756,14.68333339691162,15.786666870117188,15.786666870117188,141838500,0.0,5.4,41.8,286000,191871.0,64277.0,1166.0,2094.86,1.81,100.371940513402,1.4,95.9,0.12,13.49,17.530300092697143,64.91549921163092,-10.612455728504983
2,16.63599967956543,17.0,15.7413330078125,16.408666610717773,16.408666610717773,219357000,0.0399999999999999,5.2,41.8,277750,191814.0,63488.0,1140.0,2094.14,2.19,99.9710150567604,1.66,93.1,0.13,14.35,17.530300092697143,64.91549921163092,-10.612455728504983
3,15.133333206176758,15.515999794006348,15.013333320617676,15.44200038909912,15.44200038909912,190896000,-0.02,5.0,41.8,267000,184613.0,63436.0,1160.0,2024.81,1.95,99.4680323599224,1.43,90.0,0.12,16.79,17.530300092697143,64.91549921163092,-10.612455728504983
4,10.133333206176758,10.883999824523926,9.800000190734863,10.031332969665527,10.031332969665527,213786000,-0.0699999999999999,4.8,41.9,279600,177754.0,61843.0,1171.0,1918.6,1.72,99.1595531885749,1.19,92.0,0.34,23.72,17.530300092697143,64.91549921163092,-10.612455728504983
5,15.230667114257812,15.242667198181152,13.986000061035156,14.10200023651123,14.10200023651123,168822000,-0.03,5.1,41.8,266000,180651.0,61212.0,1160.0,2075.54,1.44,99.0881789884063,1.04,89.0,0.37,14.3,17.530300092697143,64.91549921163092,-10.612455728504983
6,15.04599952697754,15.390666961669922,14.803333282470703,15.37399959564209,15.37399959564209,62205000,-0.02,4.8,42.0,259400,181431.0,59776.0,1198.0,2148.9,1.11,99.1107374959418,0.83,90.0,0.39,13.16,17.530300092697143,64.91549921163092,-10.612455728504983
7,14.089332580566406,14.24666690826416,13.44333267211914,13.600666999816896,13.600666999816896,196405500,0.09,5.0,41.9,251500,182899.0,59489.0,1303.0,2157.69,1.24,99.24341923514427,0.86,91.2,0.4,14.22,17.530300092697143,64.91549921163092,-10.612455728504983
8,17.600000381469727,17.643999099731445,17.03733253479004,17.06599998474121,17.06599998474121,223728000,0.0,4.7,41.9,244000,189443.0,60577.0,1303.0,2275.12,1.78,99.78947565131242,1.23,98.5,0.65,11.61,17.530300092697143,64.91549921163092,-10.612455728504983
9,20.496000289916992,20.51799964904785,19.38400077819824,19.69733238220215,19.69733238220215,212280000,-0.09,4.4,42.0,227800,186764.0,61377.0,1251.0,2359.31,1.39,99.92041587077092,1.06,97.0,0.9,13.14,17.530300092697143,64.91549921163092,-10.612455728504983
10,23.02199935913086,23.33333206176757,22.87666702270508,23.139333724975582,23.139333724975582,203025000,-0.01,4.3,41.9,250800,185650.0,61172.0,1256.0,2454.1,1.16,99.9767853851873,0.95,93.4,1.15,10.26,17.530300092697143,64.91549921163092,-10.612455728504983
11,20.0086669921875,20.57933235168457,19.5086669921875,19.950666427612305,19.950666427612305,296871000,-0.03,4.2,42.0,242250,192372.0,63809.0,1356.0,2557.0,1.2,100.28409130910102,0.81,100.7,1.15,10.13,17.530300092697143,64.91549921163092,-10.612455728504983
12,22.88733291625977,23.2413330078125,20.97333335876465,21.01533317565918,21.01533317565918,154719000,-0.01,4.0,41.9,235250,199734.0,63684.0,1317.0,2789.8,1.17,100.668635534121,0.55,95.7,1.41,11.06,17.530300092697143,64.91549921163092,-10.612455728504983
13,18.586000442504883,19.202667236328125,18.34866714477539,18.96333312988281,18.96333312988281,260281500,0.0199999999999999,4.0,42.3,221500,201729.0,65251.0,1378.0,2653.63,1.18,100.872616354723,0.48,98.8,1.69,18.27,17.530300092697143,64.91549921163092,-10.612455728504983
14,21.895999908447266,23.332666397094727,21.54400062561035,23.30266761779785,23.30266761779785,348225000,-0.03,3.8,42.2,209500,205091.0,68233.0,1334.0,2793.64,0.98,100.729100259206,0.28,97.9,1.91,13.15,17.530300092697143,64.91549921163092,-10.612455728504983
15,21.14800071716309,21.39999961853028,20.067333221435547,20.99066734313965,20.99066734313965,312610500,0.24,3.7,42.0,205200,207405.0,67190.0,1314.0,2901.5,1.06,100.485319382087,0.24,100.1,1.95,12.91,17.530300092697143,58.87907098695914,-10.612455728504983
16,20.06666755676269,20.770666122436523,19.600000381469727,20.468000411987305,20.468000411987305,188538000,-0.02,4.0,42.0,222750,199495.0,66871.0,1261.0,2607.39,0.31,99.65139055242408,0.17,91.2,2.4,19.57,17.530300092697143,57.575627679480114,-10.612455728504983
17,17.0,17.266666412353516,16.404666900634766,16.5086669921875,16.5086669921875,327741000,-0.1,3.8,41.7,211800,201488.0,67592.0,1305.0,2803.98,0.17,99.3358009873195,0.16,98.4,2.41,14.49,17.530300092697143,48.76819014168996,-10.612455728504983
18,15.56666660308838,15.633333206176758,15.036666870117188,15.254667282104492,15.254667282104492,336274500,-0.0499999999999999,3.6,41.7,225200,198808.0,66127.0,1315.0,2890.17,-0.3,98.9769665881838,0.26,98.2,2.38,15.84,17.530300092697143,46.34984003662356,-10.612455728504983
