,Close
0,13.584667205810549
1,15.77400016784668
2,16.167333602905273
3,15.451333045959473
4,10.06933307647705
5,14.32866668701172
6,15.335332870483398
7,13.33133316040039
8,17.133333206176758
9,20.55666732788086
10,23.79400062561035
11,20.4060001373291
12,20.69466781616211
13,19.606000900268555
14,23.211332321166992
15,22.059999465942383
16,20.81399917602539
17,15.675999641418455
18,15.202667236328123
19,21.875333786010746
20,43.37133407592773
21,94.46666717529295
22,140.2100067138672
23,264.510009765625
24,231.46665954589844
25,215.66000366210935
26,303.2266540527344
27,282.1166687011719
28,272.24334716796875
29,214.44000244140625
30,177.89999389648438
31,165.0800018310547
32,260.0199890136719
33,211.9900054931641
34,183.25
35,170.17999267578125
36,220.25
