,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,SMA_20,RSI,MACD
0,76.8499984741211,78.0199966430664,74.20999908447266,78.0,77.76585388183594,61293500,-0.01,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.4,93.0,0.11,14.81,146.13499946594237,79.14933308859862,5.56900121434483
1,84.0999984741211,85.58999633789062,82.41000366210938,82.41000366210938,82.1626205444336,73728100,-0.0099999999999999,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.4,93.0,0.11,14.81,146.13499946594237,79.14933308859862,5.56900121434483
2,94.91000366210938,95.80999755859376,91.8000030517578,95.20999908447266,94.9241943359375,86211300,-0.01,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,146.13499946594237,79.14933308859862,5.56900121434483
3,108.8000030517578,110.6500015258789,107.9499969482422,108.76000213623048,108.43351745605467,63232900,0.01,5.0,41.8,267000,184613.0,63436.0,1160.0,2024.81,1.95,99.4680323599224,1.43,90.0,0.12,16.79,146.13499946594237,79.14933308859862,5.56900121434483
4,107.1999969482422,110.33999633789062,104.80999755859376,109.11000061035156,108.782470703125,107475300,0.0899999999999999,5.0,41.8,271000,180482.0,60173.0,1211.0,2054.08,2.01,99.2424035144421,1.26,92.6,0.24,18.03,146.13499946594237,79.14933308859862,5.56900121434483
5,119.58000183105467,120.79000091552734,116.2300033569336,116.7300033569336,116.3795928955078,87110100,0.1299999999999999,5.0,41.8,263250,179783.0,60644.0,1118.0,2021.95,1.53,99.0867346859161,1.01,91.0,0.36,15.85,146.13499946594237,79.14933308859862,5.56900121434483
6,127.5199966430664,128.3300018310547,123.62999725341795,125.0,124.62477111816406,78955800,0.14,4.9,41.8,265250,184283.0,59332.0,1208.0,2083.89,1.27,99.0939401301081,0.91,93.5,0.38,17.77,146.13499946594237,79.14933308859862,5.56900121434483
7,122.0,123.27999877929688,119.5,120.0,119.63977813720705,63766300,0.1099999999999999,4.9,42.0,255800,183383.0,59280.0,1254.0,2143.02,1.36,99.3693118135355,0.92,87.2,0.4,14.59,146.13499946594237,79.14933308859862,5.56900121434483
8,133.22000122070312,135.49000549316406,130.39999389648438,130.83999633789062,130.44723510742188,54366400,0.1299999999999999,4.7,41.9,244000,189443.0,60577.0,1303.0,2275.12,1.78,99.78947565131242,1.23,98.5,0.65,11.61,146.13499946594237,79.14933308859862,5.56900121434483
9,150.1699981689453,151.52000427246094,148.72000122070312,150.85000610351562,150.3971710205078,36225500,0.16,4.4,42.0,227800,186764.0,61377.0,1251.0,2359.31,1.39,99.92041587077092,1.06,97.0,0.9,13.14,146.13499946594237,79.14933308859862,5.56900121434483
10,174.6999969482422,175.49000549316406,167.5,170.44000244140625,169.92837524414062,68910700,0.1900000000000001,4.3,42.0,248000,185638.0,60282.0,1353.0,2433.99,1.15,99.9438878626564,0.84,95.0,1.04,10.51,146.13499946594237,79.14933308859862,5.56900121434483
11,180.6300048828125,181.94000244140625,177.33999633789062,178.9199981689453,178.38291931152344,35529900,0.31,4.2,42.0,242250,192372.0,63809.0,1356.0,2557.0,1.2,100.28409130910102,0.81,100.7,1.15,10.13,146.13499946594237,79.14933308859862,5.56900121434483
12,188.22000122070312,195.32000732421875,187.88999938964844,193.08999633789065,192.51036071777344,54211300,0.2400000000000002,4.0,41.9,235250,199734.0,63684.0,1317.0,2789.8,1.17,100.668635534121,0.55,95.7,1.41,11.06,146.13499946594237,79.14933308859862,5.56900121434483
13,173.22000122070312,176.27000427246094,170.8000030517578,174.16000366210938,173.63720703125,77556900,0.3299999999999998,4.0,42.2,225800,199775.0,64151.0,1385.0,2702.77,1.34,100.853038383548,0.57,101.4,1.51,19.02,146.13499946594237,79.14933308859862,5.56900121434483
14,174.88999938964844,180.1300048828125,173.75,176.25999450683594,175.73089599609375,169803700,-0.01,4.0,42.2,222600,203807.0,67716.0,1345.0,2754.35,1.09,100.804780122537,0.38,98.2,1.82,13.68,146.13499946594237,79.14933308859862,5.56900121434483
15,155.0,156.39999389648438,148.9600067138672,151.7899932861328,151.33433532714844,60101300,0.3,3.8,42.1,213000,207827.0,67696.0,1272.0,2785.46,0.96,100.297193002266,0.29,98.6,2.19,19.35,146.13499946594237,62.4538728373064,5.56900121434483
16,165.60000610351562,171.67999267578125,165.0,166.69000244140625,166.1896209716797,77233600,0.2099999999999999,4.0,42.0,222750,199495.0,66871.0,1261.0,2607.39,0.31,99.65139055242408,0.17,91.2,2.4,19.57,146.13499946594237,67.01622424358428,5.56900121434483
17,196.97999572753903,198.47999572753903,192.1199951171875,193.259994506836,192.6798553466797,54148800,-0.8099999999999999,3.8,41.7,211800,201488.0,67592.0,1305.0,2803.98,0.17,99.3358009873195,0.16,98.4,2.41,14.49,146.13499946594237,73.25682180636016,5.56900121434483
18,196.6999969482422,198.08999633789065,188.25,191.6499938964844,191.0746917724609,42286500,0.2100000000000002,3.6,41.4,212250,195081.0,64707.0,1525.0,2977.68,-0.12,98.8944108594582,0.16,95.5,1.83,15.47,146.13499946594237,72.36338471264133,5.56900121434483
