,Close
0,48.02999877929688
1,46.11000061035156
2,54.25
3,54.709999084472656
4,52.11000061035156
5,55.79999923706055
6,61.0
7,65.12999725341797
8,69.41000366210938
9,73.5999984741211
10,83.88999938964844
11,91.77999877929688
12,93.5199966430664
13,107.97000122070312
14,106.95999908447266
15,102.77999877929688
16,129.88999938964844
17,138.42999267578125
18,140.72999572753906
19,170.22999572753906
20,201.3000030517578
21,204.72000122070312
22,238.92999267578125
23,252.50999450683597
24,286.5
25,324.3500061035156
26,299.8399963378906
27,289.6300048828125
28,276.4100036621094
29,226.75
30,248.0
31,304.8299865722656
32,330.7200012207031
33,327.8900146484375
34,403.7799987792969
35,402.25
36,417.1099853515625
