,Close
0,61.20571517944336
1,81.6500015258789
2,114.7699966430664
3,98.98999786376952
4,102.3499984741211
5,96.7699966430664
6,87.91000366210938
7,121.87000274658205
8,138.60000610351562
9,139.75999450683594
10,183.8600006103516
11,195.5399932861328
12,261.29998779296875
13,334.5199890136719
14,375.1300048828125
15,346.7099914550781
16,325.1600036621094
17,360.3500061035156
18,315.1000061035156
19,275.29998779296875
20,349.6000061035156
21,426.7000122070313
22,485.2300109863281
23,579.8400268554688
24,508.7799987792969
25,511.7699890136719
26,653.1599731445312
27,387.1499938964844
28,223.8800048828125
29,268.1600036621094
30,357.4200134277344
31,325.3500061035156
32,427.5
33,400.9599914550781
34,562.0
35,554.5999755859375
36,647.5
