,Close
0,26.61000061035156
1,28.30599975585937
2,36.555999755859375
3,37.46900177001953
4,37.11050033569336
5,40.047000885009766
6,40.494998931884766
7,41.19150161743164
8,46.64099884033203
9,48.26549911499024
10,51.65650177001953
11,53.11949920654297
12,51.14950180053711
13,63.797000885009766
14,51.73649978637695
15,56.14450073242188
16,58.66600036621094
17,62.09199905395508
18,63.03499984741211
19,72.30249786376953
20,67.33499908447266
21,81.21600341796875
22,102.68150329589844
23,135.77749633789062
24,145.8489990234375
25,143.08999633789062
26,118.52249908447266
27,114.22000122070312
28,92.22000122070312
29,102.9000015258789
30,107.58999633789062
31,129.39999389648438
32,122.27999877929688
33,141.16000366210938
34,166.14999389648438
35,167.27999877929688
