,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,SMA_20,RSI,MACD
0,29.40749931335449,29.530000686645508,28.82749938964844,28.82749938964844,25.70713424682617,585908400,0.12,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.4,93.0,0.11,14.81,38.61512470245361,78.29134176738071,-0.6240387667515961
1,33.6150016784668,33.6349983215332,32.39250183105469,32.63999938964844,29.22182846069336,475696000,0.0299999999999999,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.4,93.0,0.11,14.81,38.61512470245361,78.29134176738071,-0.6240387667515961
2,30.497499465942383,31.375,30.497499465942383,31.30500030517578,28.143707275390625,461802400,0.01,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,38.61512470245361,78.29134176738071,-0.6240387667515961
3,29.232500076293945,29.825000762939453,29.01499938964844,29.8174991607666,26.92776107788086,342205600,0.02,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.4,2.04,99.613292239032,1.46,87.2,0.14,24.38,38.61512470245361,78.29134176738071,-0.6240387667515961
4,24.01000022888184,24.15749931335449,23.334999084472656,23.354999542236328,21.18185043334961,533478800,0.0099999999999998,5.0,41.8,271000,180482.0,60173.0,1211.0,2054.08,2.01,99.2424035144421,1.26,92.6,0.24,18.03,38.61512470245361,78.29134176738071,-0.6240387667515961
5,24.0,24.677499771118164,23.920000076293945,24.45499992370605,22.299850463867188,458408400,-0.01,5.0,41.8,263250,179783.0,60644.0,1118.0,2021.95,1.53,99.0867346859161,1.01,91.0,0.36,15.85,38.61512470245361,78.29134176738071,-0.6240387667515961
6,26.0674991607666,26.08749961853028,25.6875,25.737499237060547,23.612213134765625,369379200,0.01,4.9,41.8,265250,184283.0,59332.0,1208.0,2083.89,1.27,99.0939401301081,0.91,93.5,0.38,17.77,38.61512470245361,78.29134176738071,-0.6240387667515961
7,28.57749938964844,28.924999237060547,28.32749938964844,28.897499084472656,26.654895782470703,264536800,0.0,5.0,41.9,251500,182899.0,59489.0,1303.0,2157.69,1.24,99.24341923514427,0.86,91.2,0.4,14.22,38.61512470245361,78.29134176738071,-0.6240387667515961
8,31.75749969482422,32.622501373291016,31.752500534057617,32.1875,29.842010498046875,447940000,0.0299999999999999,4.7,41.9,244000,189443.0,60577.0,1303.0,2275.12,1.78,99.78947565131242,1.23,98.5,0.65,11.61,38.61512470245361,78.29134176738071,-0.6240387667515961
9,36.397499084472656,36.872501373291016,36.067501068115234,36.76499938964844,34.233726501464844,182788000,0.02,4.4,42.0,227800,186764.0,61377.0,1251.0,2359.31,1.39,99.92041587077092,1.06,97.0,0.9,13.14,38.61512470245361,78.29134176738071,-0.6240387667515961
10,39.81999969482422,39.9375,39.040000915527344,39.28499984741211,36.73120880126953,279747200,0.0299999999999999,4.3,41.9,250800,185650.0,61172.0,1256.0,2454.1,1.16,99.9767853851873,0.95,93.4,1.15,10.26,38.61512470245361,78.29134176738071,-0.6240387667515961
11,43.5,43.56499862670898,42.77999877929688,43.125,40.47993469238281,237594400,0.05,4.2,42.0,242250,192372.0,63809.0,1356.0,2557.0,1.2,100.28409130910102,0.81,100.7,1.15,10.13,38.61512470245361,78.29134176738071,-0.6240387667515961
12,41.5,41.70000076293945,40.025001525878906,40.125,37.79933547973633,346375200,0.01,4.0,41.9,235250,199734.0,63684.0,1317.0,2789.8,1.17,100.668635534121,0.55,95.7,1.41,11.06,38.61512470245361,78.29134176738071,-0.6240387667515961
13,43.807498931884766,44.4375,43.45000076293945,44.14250183105469,41.753536224365234,266157600,0.01,4.0,42.3,221500,201729.0,65251.0,1378.0,2653.63,1.18,100.872616354723,0.48,98.8,1.69,18.27,38.61512470245361,78.29134176738071,-0.6240387667515961
14,49.782501220703125,50.43999862670898,49.32749938964844,50.375,47.83244705200195,271742800,0.0499999999999999,3.8,42.2,209500,205091.0,68233.0,1334.0,2793.64,0.98,100.729100259206,0.28,97.9,1.91,13.15,38.61512470245361,78.29134176738071,-0.6240387667515961
15,52.38750076293945,53.41249847412109,51.35749816894531,51.869998931884766,49.42473983764648,365314800,0.03,3.8,42.1,213000,207827.0,67696.0,1272.0,2785.46,0.96,100.297193002266,0.29,98.6,2.19,19.35,38.61512470245361,79.34176214202252,-0.6240387667515961
16,40.8125,41.53749847412109,40.057498931884766,41.3125,39.50227355957031,244439200,0.01,3.9,42.1,224600,198538.0,65602.0,1317.0,2567.31,0.56,99.8580511000046,0.16,98.3,2.27,24.95,38.61512470245361,57.99882454431291,-0.6240387667515961
17,52.470001220703125,53.82749938964844,52.307498931884766,52.630001068115234,50.53971862792969,259309200,0.03,3.7,41.6,209750,202759.0,66858.0,1311.0,2903.8,0.11,99.2042658362208,0.19,97.2,2.42,12.95,38.61512470245361,67.95140206450397,-0.6240387667515961
18,54.10499954223633,55.34249877929688,52.82500076293945,53.2599983215332,51.34164810180664,277125600,0.02,3.7,41.5,208500,199540.0,65540.0,1352.0,2996.11,-0.34,98.89289360200692,0.22,98.4,2.4,13.31,38.61512470245361,68.40028193178628,-0.6240387667515961
