,Close
0,75.91000366210938
1,81.52999877929688
2,94.01000213623048
3,107.0999984741211
4,112.20999908447266
5,117.58000183105467
6,123.94000244140624
7,120.75
8,130.97999572753906
9,150.24000549316406
10,172.4499969482422
11,178.9199981689453
12,190.27999877929688
13,173.58999633789062
14,174.88999938964844
15,151.75
16,165.7100067138672
17,191.4900054931641
18,193.6199951171875
19,201.91000366210935
20,251.9600067138672
21,261.3599853515625
22,258.3299865722656
23,325.0799865722656
24,356.29998779296875
25,312.2200012207031
26,237.08999633789065
27,200.47000122070312
28,159.10000610351562
29,186.52999877929688
30,240.32000732421875
31,325.4800109863281
32,296.7300109863281
33,459.4100036621094
34,443.2900085449219
35,488.1400146484375
