,Close
0,0.5577499866485596
1,0.515749990940094
2,0.5945000052452087
3,0.7852500081062317
4,0.7609999775886536
5,1.0547499656677246
6,1.5744999647140503
7,2.0910000801086426
8,2.7095000743865967
9,3.1624999046325684
10,4.210000038146973
11,5.3157501220703125
12,5.70074987411499
13,6.383999824523926
14,6.196000099182129
15,3.617500066757202
16,3.9159998893737793
17,3.793750047683716
18,4.269499778747559
19,5.307000160217285
20,7.414249897003174
21,12.683500289916992
22,13.087750434875488
23,13.714500427246094
24,16.24449920654297
25,20.81599998474121
26,32.98500061035156
27,23.642000198364254
28,18.81100082397461
29,16.260000228881836
30,15.409000396728516
31,23.285999298095703
32,38.94599914550781
33,46.01800155639648
34,47.7760009765625
35,78.81700134277344
